CPF,AveragePerformance,Área,Potencial Bruto,Raciocínio,Social,Motivacional,Cultura pontuação,atributo-Capacidade analítica,atributo-Pensamento conceitual,atributo-Reflexão,atributo-Pensamento criativo,atributo-Planejamento e organização,atributo-Comunicação,atributo-Consideração pelos outros,atributo-Influência,atributo-Sociabilidade,atributo-Facilitação,atributo-Flexibilidade,atributo-Estabilidade emocional,atributo-Ambição,atributo-Iniciativa,atributo-Assertividade,atributo-Tomada de riscos,perfil-Capacidade analítica,perfil-Pensamento conceitual,perfil-Reflexão,perfil-Pensamento criativo,perfil-Planejamento e organização,perfil-Comunicação,perfil-Consideração pelos outros,perfil-Influência,perfil-Sociabilidade,perfil-Facilitação,perfil-Flexibilidade,perfil-Estabilidade emocional,perfil-Ambição,perfil-Iniciativa,perfil-Assertividade,perfil-Tomada de riscos
140.852.367-17,2.5,Comercial,,55.26,,,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685.241.907-11,2.5,Operações,50.65,52.07,40.95,61.95,58.71,66.49,42.63,63.08,25.58,49.44,72.41,55.37,24.69,28.09,55.37,28.09,81.59,52.5,62.73,38.87,45.69,69.23,37.41,64.68,14.68,46.5,90.56,69.23,28.32,32.86,69.23,32.86,78.32,37.41,51.05,19.23,28.32
503.479.182-12,2.0,Comercial,,45.01,,,37.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526.043.198-71,1.5,Logística,,33.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489.560.217-67,2.5,Logística,50.93,33.71,73.87,46.36,36.89,18.72,10.2,34.49,15.31,18.72,92.67,82.44,71.24,84.14,90.96,74.65,53.97,18.23,57.38,30.1,36.92,28.32,8.74,51.05,19.23,28.32,90.56,64.68,46.5,69.23,87.41,51.05,60.14,10.14,64.68,28.32,37.41
082.796.415-31,2.0,Logística,,19.2,,,47.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.087.593-48,1.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.802.957-88,2.0,Logística,,41.23,,,50.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863.920.174-96,2.0,Logística,,69.54,,,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945.176.203-52,2.0,Comercial,,10.89,,,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658.031.924-14,2.0,Comercial,44.95,45.37,21.19,77.53,67.32,49.57,35.93,32.52,49.57,32.52,35.61,28.8,17.58,35.61,21.98,25.39,68.09,64.68,74.91,80.86,74.91,55.59,37.41,32.86,55.59,32.86,69.23,60.14,41.95,69.23,51.05,55.59,37.41,32.86,46.5,55.59,46.5
609.487.231-22,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950.134.862-89,1.5,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921.605.478-67,3.0,Logística,,77.14,,,34.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.245.738-47,3.0,Operações,,33.59,,,40.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.317.950-59,2.5,Comercial,,67.64,40.95,,53.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643.519.802-14,2.0,Operações,40.96,25.7,50.82,51.56,72.32,14.72,29.89,23.07,36.71,19.83,44.79,44.79,65.24,51.61,34.56,58.43,79.62,55.75,48.93,48.93,59.16,28.32,55.59,46.5,64.68,41.95,41.95,41.95,69.23,51.05,28.32,60.14,87.41,55.59,46.5,46.5,60.14
160.952.734-81,1.0,Operações,64.56,77.48,44.24,72.34,42.25,74.85,50.99,68.03,84.24,78.26,62.07,58.66,38.2,65.48,55.25,45.02,76.53,52.67,85.08,76.53,59.49,46.5,14.68,37.41,64.68,51.05,73.77,69.23,41.95,78.32,64.68,51.05,55.59,23.77,73.77,55.59,32.86
146.379.502-52,2.0,Logística,,68.46,,,81.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.943.876-39,2.0,Operações,,82.01,,,45.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803.619.742-13,2.5,Comercial,58.32,58.62,44.24,77.53,61.09,59.41,56.0,73.04,49.18,56.0,34.8,55.25,41.61,45.02,27.98,48.43,82.57,80.86,68.09,78.32,71.5,51.05,46.5,69.23,37.41,46.5,37.41,64.68,46.5,51.05,28.32,55.59,60.14,55.59,37.41,51.05,41.95
159.068.342-14,2.0,Operações,53.5,67.52,57.41,25.58,48.84,82.68,71.72,75.13,75.13,78.54,54.78,34.33,34.33,34.33,44.56,34.33,43.41,16.37,9.55,22.96,9.55,73.77,55.59,60.14,60.14,64.68,46.5,19.23,19.23,19.23,32.86,19.23,73.77,32.86,14.68,46.5,14.68
296.478.531-73,2.0,Operações,,46.97,,,73.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.849.206-71,1.0,Logística,53.02,74.59,44.24,30.78,41.98,91.32,82.8,65.15,68.56,87.92,41.61,45.02,24.57,13.76,58.66,27.98,28.15,18.96,31.56,18.96,12.15,87.41,64.68,37.41,41.95,78.32,46.5,51.05,23.77,7.44,69.23,28.32,46.5,32.86,51.05,32.86,14.68
605.218.937-12,1.5,Logística,,81.68,,,65.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427.615.098-11,2.5,Logística,,48.61,,,41.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741.580.932-79,1.5,Logística,,69.27,,,74.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526.147.380-26,1.5,Logística,,71.7,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628.419.073-51,1.5,Comercial,,89.59,,,21.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615.389.072-59,2.5,Operações,,56.83,,,39.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.379.164-13,1.5,Operações,,35.46,,,49.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869.153.720-59,2.5,Logística,59.67,72.49,50.82,51.56,51.75,76.68,83.45,42.59,80.05,83.45,55.02,34.56,51.61,48.2,55.02,51.61,55.75,83.22,59.16,45.52,35.3,55.59,69.23,10.14,60.14,69.23,55.59,28.32,51.05,46.5,55.59,51.05,55.59,91.86,60.14,41.95,28.32
429.368.015-24,2.5,Logística,,66.06,,,41.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.634.509-15,2.0,Comercial,,26.29,,,89.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.803.925-33,1.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.357.806-11,2.5,Operações,,78.52,,,43.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572.846.913-28,3.0,Operações,,54.4,,,81.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.374.062-51,2.0,Operações,,46.76,,,37.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.926.753-92,1.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719.064.385-11,1.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819.246.730-96,2.5,Comercial,,40.14,,,40.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327.840.651-62,1.5,Comercial,,63.16,,,56.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.823.619-71,2.0,Operações,,43.06,,,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.496.728-85,2.5,Operações,,83.8,,,73.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832.509.164-98,2.0,Comercial,50.45,46.55,54.12,51.56,65.84,60.97,60.97,37.11,57.56,33.7,51.49,34.44,61.72,65.13,37.85,54.9,52.34,52.34,55.75,38.71,45.52,69.23,69.23,37.41,64.68,32.86,46.5,23.77,60.14,64.68,28.32,51.05,51.05,51.05,55.59,32.86,41.95
602.495.817-11,2.5,Comercial,,59.78,,,60.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417.092.638-22,2.0,Logística,,19.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.546.912-11,1.5,Operações,,85.76,,,54.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.296.873-41,2.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810.254.367-17,1.0,Operações,,34.74,,,34.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627.189.305-86,2.0,Logística,,47.11,,,79.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.649.780-11,3.0,Logística,,59.15,,,23.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.140.357-81,2.5,Logística,,58.5,,,30.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.407.563-21,1.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935.718.264-18,1.0,Comercial,,91.04,,,22.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.319.078-32,2.0,Comercial,73.25,78.98,54.12,90.89,55.98,96.93,79.76,86.7,62.72,66.13,27.63,68.54,51.49,34.44,58.31,48.08,90.95,89.25,80.72,96.06,84.13,91.86,51.05,69.23,28.32,32.86,14.68,69.23,46.5,23.77,55.59,41.95,64.68,60.14,37.41,78.32,46.5
258.901.376-11,3.0,Operações,,69.41,,,33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892.430.176-41,1.5,Logística,51.27,57.24,44.24,51.56,54.75,64.85,58.03,58.03,61.44,44.39,45.02,45.02,72.3,41.61,24.57,48.43,48.93,69.39,59.16,35.3,31.89,60.14,51.05,51.05,55.59,32.86,51.05,51.05,87.41,46.5,23.77,55.59,46.5,73.77,60.14,28.32,23.77
162.870.594-94,1.5,Logística,,50.77,,,49.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398.614.572-91,3.0,Operações,,60.22,,,73.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748.612.903-51,1.0,Operações,,56.57,,,36.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049.621.837-96,1.0,Comercial,,44.26,,,35.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.816.549-11,2.5,Operações,,46.82,,,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731.624.809-22,1.5,Comercial,,89.75,,,69.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037.692.145-52,2.0,Operações,,51.56,,,49.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851.640.397-11,2.0,Comercial,,77.04,,,56.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783.429.510-14,2.5,Operações,,36.61,,,14.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918.536.407-19,2.5,Logística,,12.72,,,31.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731.950.684-19,1.0,Logística,74.79,68.5,83.74,72.34,46.43,81.46,81.46,69.28,45.42,76.1,85.67,82.26,77.71,82.26,85.67,74.3,73.12,56.08,66.3,56.08,79.94,69.23,69.23,51.05,19.23,60.14,60.14,51.05,41.95,51.05,60.14,37.41,51.05,28.32,41.95,28.32,60.14
241.069.758-58,2.0,Logística,,53.74,,,71.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075.924.168-67,1.5,Comercial,,49.9,,,38.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569.702.134-81,1.5,Comercial,,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017.423.689-13,1.5,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.749.368-65,2.5,Comercial,,61.06,,,78.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715.390.846-39,3.0,Comercial,53.65,59.22,37.65,67.14,30.09,80.23,53.18,66.82,42.95,66.82,65.71,13.88,48.67,65.71,21.39,28.21,85.9,67.93,50.88,40.65,57.7,78.32,41.95,60.14,28.32,60.14,87.41,10.14,64.68,87.41,28.32,37.41,82.86,51.05,28.32,14.68,37.41
163.982.045-14,1.5,Logística,,61.74,,,22.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.869.403-65,1.5,Logística,,60.63,,,32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430.865.927-29,1.5,Logística,53.13,76.66,31.07,46.36,65.7,80.43,74.03,82.13,87.24,70.63,21.63,15.7,65.94,48.9,19.11,19.11,33.51,57.38,67.6,53.97,33.51,55.59,46.5,60.14,73.77,41.95,37.41,23.77,91.86,73.77,32.86,32.86,32.86,64.68,78.32,60.14,32.86
487.960.531-19,1.5,Logística,,70.24,,,50.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.103.754-71,2.0,Operações,,67.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638.791.405-11,1.0,Logística,,10.89,,,36.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692.407.358-11,2.5,Comercial,,46.89,,,63.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091.685.432-98,1.5,Comercial,,63.49,,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.689.714-17,1.0,Comercial,,52.67,,,44.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812.945.673-73,2.0,Operações,45.61,46.72,47.53,41.17,74.81,61.14,54.32,61.14,16.7,27.05,34.68,48.31,51.72,48.31,27.86,55.13,38.54,62.41,41.95,48.77,28.32,69.23,60.14,69.23,8.74,23.77,32.86,51.05,55.59,51.05,23.77,60.14,46.5,78.32,51.05,60.14,32.86
067.932.148-96,1.0,Comercial,,48.76,,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.869.573-83,1.5,Operações,,77.15,,,44.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587.306.194-75,2.0,Logística,,25.81,,,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698.012.374-22,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.418.907-97,2.5,Logística,,65.15,77.16,,57.33,,,,,,,,,,,,,,,,,82.86,46.5,64.68,60.14,28.32,32.86,51.05,23.77,7.44,10.14,32.86,87.41,82.86,60.14,32.86,55.59
980.437.165-11,2.5,Comercial,,51.78,,,68.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728.603.954-74,2.0,Operações,49.3,42.59,44.24,67.14,36.98,50.19,26.32,33.14,33.14,16.34,45.02,48.43,68.89,68.89,21.16,34.8,74.75,82.49,85.9,78.15,54.29,60.14,28.32,37.41,37.41,10.14,51.05,55.59,82.86,82.86,19.23,37.41,60.14,73.77,82.86,64.68,32.86
496.783.015-39,2.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374.518.069-11,2.0,Logística,,64.66,,,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.675.089-94,2.5,Logística,,66.12,,,33.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.760.532-21,2.5,Operações,,21.59,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.816.749-41,1.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406.875.213-35,2.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.810.349-24,2.5,Operações,,67.43,,,57.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873.690.542-92,2.0,Comercial,,16.0,,,24.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486.923.501-33,3.0,Comercial,,64.51,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706.491.538-39,2.5,Operações,,50.49,,,45.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051.839.674-66,2.0,Comercial,,63.93,,,60.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607.254.391-14,2.0,Comercial,,53.71,,,70.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472.651.098-31,3.0,Comercial,48.85,41.46,44.24,67.14,55.2,45.65,66.1,45.65,38.83,32.01,62.07,41.61,48.43,68.89,58.66,21.16,67.93,47.47,71.34,50.88,74.75,55.59,82.86,55.59,46.5,37.41,73.77,46.5,55.59,82.86,69.23,19.23,51.05,23.77,55.59,28.32,60.14
689.371.024-12,2.5,Logística,,63.14,,,58.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973.184.562-37,2.0,Operações,,43.04,,,36.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926.403.857-47,1.5,Logística,,65.81,,,57.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.215.693-61,3.0,Comercial,41.68,22.11,60.7,46.36,14.41,22.9,16.33,12.93,19.74,33.12,58.07,58.07,58.07,71.71,51.26,61.48,67.6,23.28,50.56,26.69,50.56,51.05,37.41,28.32,46.5,64.68,46.5,46.5,46.5,64.68,37.41,51.05,78.32,19.23,55.59,23.77,55.59
782.059.314-88,2.5,Operações,84.54,76.75,91.03,87.92,39.36,85.59,70.72,82.18,50.26,70.72,80.8,97.84,61.14,74.77,96.14,84.2,91.17,75.07,84.35,64.84,80.94,69.23,41.95,60.14,14.68,41.95,37.41,82.86,10.14,28.32,78.32,46.5,69.23,32.86,51.05,19.23,41.95
462.389.157-73,1.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.837.950-11,1.5,Logística,60.01,83.08,50.82,35.97,33.16,93.86,87.04,77.04,73.63,83.63,17.05,48.2,31.15,20.93,58.43,41.38,46.99,29.94,19.86,33.35,26.53,82.86,64.68,41.95,37.41,55.59,7.44,46.5,23.77,10.14,60.14,37.41,64.68,41.95,28.32,46.5,37.41
357.064.892-38,3.0,Comercial,,64.8,,,68.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.026.197-59,2.0,Comercial,63.39,60.52,63.99,67.14,69.59,54.49,61.31,30.63,80.88,74.94,54.55,64.78,86.02,71.59,57.96,54.55,78.15,84.19,67.93,74.75,61.11,41.95,51.05,10.14,78.32,69.23,37.41,51.05,87.41,60.14,41.95,37.41,64.68,78.32,51.05,60.14,41.95
240.971.638-51,1.5,Logística,60.23,64.87,57.41,56.75,67.23,83.05,41.79,55.43,83.05,31.56,18.64,81.03,37.74,41.15,61.6,65.01,84.11,77.99,60.95,54.13,64.36,78.32,19.23,37.41,78.32,8.74,6.14,82.86,23.77,28.32,55.59,60.14,90.56,78.32,55.59,46.5,60.14
316.582.794-17,2.0,Comercial,,49.49,,,38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876.153.420-15,1.5,Operações,26.79,23.44,27.78,30.78,48.52,18.7,15.29,3.36,20.81,37.86,31.97,52.43,14.05,21.74,42.2,17.46,65.65,17.26,28.15,13.85,28.15,41.95,32.86,7.44,46.5,69.23,55.59,82.86,23.77,41.95,69.23,32.86,91.86,28.32,46.5,19.23,46.5
028.743.591-14,1.0,Logística,41.21,23.07,50.82,56.75,38.02,34.08,11.7,20.45,37.49,20.45,41.38,51.61,34.56,34.56,48.2,37.97,60.95,54.13,60.95,60.95,47.31,64.68,23.77,46.5,69.23,46.5,37.41,51.05,28.32,28.32,46.5,32.86,55.59,46.5,55.59,55.59,37.41
726.085.194-58,3.0,Operações,,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387.260.541-16,1.5,Logística,,64.2,,,62.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658.073.192-31,1.0,Comercial,,78.8,,,56.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.394.650-39,1.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412.859.076-21,1.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504.629.817-11,1.0,Logística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.916.375-91,2.5,Comercial,,46.85,,,76.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.746.058-91,1.5,Operações,54.69,50.33,80.45,25.58,20.73,34.07,61.34,61.34,74.98,40.89,77.83,67.6,53.96,57.37,74.42,64.19,29.78,43.41,12.96,26.37,9.55,28.32,64.68,64.68,82.86,37.41,46.5,32.86,14.68,19.23,41.95,28.32,55.59,73.77,23.77,51.05,14.68
302.618.975-86,2.5,Logística,,82.02,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417.620.983-69,2.5,Comercial,54.43,67.72,67.28,15.19,59.37,84.48,65.09,65.09,54.86,68.5,71.48,57.84,74.89,61.25,82.56,54.43,33.02,11.17,12.88,12.88,7.76,78.32,46.5,46.5,32.86,51.05,55.59,37.41,60.14,41.95,73.77,32.86,73.77,32.86,37.41,37.41,23.77
786.930.512-11,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713.259.046-43,2.0,Operações,45.17,31.52,37.65,77.53,72.07,15.92,15.92,39.12,14.22,35.71,58.89,45.26,58.89,55.48,48.67,35.03,61.27,78.32,82.57,85.98,57.86,23.77,23.77,60.14,19.23,55.59,78.32,60.14,78.32,73.77,64.68,46.5,28.32,51.05,60.14,69.23,23.77
073.269.845-65,2.5,Comercial,,39.05,,,40.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097.625.438-74,2.5,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782.564.019-58,1.0,Logística,,,,,63.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954.061.283-71,1.5,Logística,,37.58,,,27.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953.042.867-74,2.0,Comercial,,62.86,,,38.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975.841.306-66,1.5,Operações,53.52,59.63,44.24,56.75,62.99,74.05,67.23,43.36,57.0,67.23,34.8,45.02,72.3,48.43,18.88,58.66,37.08,82.41,74.58,64.36,47.31,69.23,60.14,28.32,46.5,60.14,37.41,51.05,87.41,55.59,14.68,69.23,23.77,87.41,73.77,60.14,37.41
086.941.735-57,2.0,Logística,,28.24,,,75.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721.436.509-14,2.0,Operações,59.36,54.41,70.58,51.56,62.44,72.24,58.61,41.56,41.56,65.43,71.36,82.5,61.13,82.5,80.79,57.72,62.57,45.52,48.93,55.75,31.89,73.77,55.59,32.86,32.86,64.68,51.05,69.23,37.41,69.23,64.68,32.86,64.68,41.95,46.5,55.59,23.77
496.032.875-47,1.5,Logística,,55.14,,,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039.526.184-89,2.0,Comercial,47.61,40.56,63.99,35.97,36.21,61.8,48.16,54.98,44.75,44.75,40.91,37.5,57.96,57.96,37.5,37.5,60.62,50.39,43.58,40.17,13.04,78.32,60.14,69.23,55.59,55.59,19.23,14.68,41.95,41.95,14.68,14.68,82.86,69.23,60.14,55.59,10.14
812.634.759-73,1.5,Comercial,,,,,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376.952.014-99,1.5,Operações,,74.65,,,62.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754.608.392-38,2.0,Operações,51.13,32.02,54.12,77.53,46.57,49.85,39.62,32.8,32.8,22.57,51.49,68.54,44.67,37.85,51.49,61.72,61.27,74.91,74.91,68.09,82.57,73.77,60.14,51.05,51.05,37.41,46.5,69.23,37.41,28.32,46.5,60.14,28.32,46.5,46.5,37.41,60.14
869.712.453-18,2.5,Comercial,,82.79,,,82.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.807.546-81,1.0,Logística,,44.65,,,67.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893.762.154-19,2.0,Comercial,,68.83,,,59.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096.714.238-51,2.0,Logística,,32.11,,,41.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981.430.752-14,2.5,Comercial,,47.92,,,24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.765.480-65,2.5,Comercial,66.47,75.09,67.28,51.56,88.42,72.46,72.46,65.64,75.87,62.23,80.85,80.85,78.3,61.25,71.48,71.48,21.66,65.98,65.98,62.57,45.52,46.5,46.5,37.41,51.05,32.86,69.23,69.23,64.68,41.95,55.59,55.59,10.14,69.23,69.23,64.68,41.95
482.961.057-31,2.0,Operações,,75.06,,,61.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920.751.863-59,1.5,Operações,,30.66,,,40.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.268.197-18,1.0,Comercial,,43.63,,,46.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820.791.643-51,1.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613.870.249-22,2.0,Logística,,,,,39.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901.265.843-89,2.5,Comercial,,88.39,,,67.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978.603.541-11,2.0,Operações,45.74,54.95,31.07,51.56,48.86,52.32,31.87,38.69,42.1,79.6,31.85,45.49,31.85,45.49,55.72,14.0,62.57,42.12,35.3,59.16,35.3,46.5,19.23,28.32,32.86,82.86,51.05,69.23,51.05,69.23,82.86,19.23,64.68,37.41,28.32,60.14,28.32
745.083.926-11,1.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013.764.928-22,2.5,Operações,,75.94,,,71.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.380.624-11,2.5,Logística,,58.49,,,33.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719.632.854-17,1.5,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.285.049-71,2.5,Comercial,,30.15,,,36.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.624.783-87,1.0,Operações,52.86,61.59,47.53,46.36,54.3,69.19,65.78,83.12,48.73,58.96,31.27,65.36,38.09,24.45,65.36,44.91,67.6,60.78,43.74,47.15,33.51,60.14,55.59,82.86,32.86,46.5,28.32,73.77,37.41,19.23,73.77,46.5,78.32,69.23,46.5,51.05,32.86
864.930.217-31,2.0,Logística,,75.18,,,74.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614.780.529-11,2.0,Operações,,65.35,,,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906.514.372-61,1.5,Comercial,,23.66,,,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945.380.167-48,1.0,Operações,,86.13,,,54.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
